1963/04/??,Badwater Valley Boys,Ash Grove,,Los Angeles,CA,"(Garcia, Hunter, Frankel, Leicester; this one-off group competed in a talent contest, which they did not win)"
1963/04/27,Wildwood Boys,Rickey's Studio Inn and Garden Hotel,,Palo Alto,CA,"(Jerry and Sara's wedding reception; Garcia, Nelson, and Hunter doing some ad hoc jamming; Palo Alto Times wedding article; photo; source: Katz photos)"
1963/05/03,Jerry and Sara,Top Of The Tangent,,Palo Alto,CA,"(Garcia, Sara Garcia; opened for Michael Cooney, likely 3 sets; Tangent ledger; source: Stanford Daily)"
1963/05/04,Jerry and Sara,Top Of The Tangent,,Palo Alto,CA,"(*included on Before The Dead; opened for Michael Cooney, likely 3 sets; photo #1; photo #2)"
I:,Deep Elem Blues*,,,,,
,Will The Weaver*,,,,,
,I Truly Understand*,,,,,
,All The Good Times Are Past and Gone,,,,,
,Long Black Veil*,,,,,
,The Man Who Wrote Home Sweet Home Never Was a Married Man*,,,,,
,Keno The Rent Man,,,,,
,Foggy Mountain Top*,,,,,
1963/05/12,Wildwood Boys,Main Auditorium,San Francisco State College,San Francisco,CA,"(Garcia, Hunter, Nelson, Van Maastricht; SFSC folk festival; opened for Mike Seeger and Hedy West; Marty Balin's folk group The Town Criers also performed; 1:30 and 7:45 shows, Wildwood Boys performed afternoon only; Janis Joplin scheduled, but did not show up; source: McNally/Mike Seeger contract in files at UNC Chappell Hill, uncirculated tape)"
I:,Way Downtown,,,,,
,Sally Goodin,,,,,
,Ain't Nobody Gonna Miss Me,,,,,
,Drink Up & Go Home,,,,,
,Country Boy Rock And Roll,,,,,
,Standing In The Need Of Prayer,,,,,
1963/05/17,Wildwood Boys,Monterey County Fairgrounds,,Monterey,CA,"(Garcia, Hunter, Nelson, Frankel; Monterey Folk Festival; photo; Garcia, accompanied by David Nelson on guitar, competed in an amateur banjo contest against Michael Cooney and lost; the Wildwood Boys competed in an amateur band competition and won; competition dates uncertain, may have been one of the other two shows)"
1963/05/18,Wildwood Boys,Monterey County Fairgrounds,,Monterey,CA,"(Garcia, Hunter, Nelson, Frankel; Monterey Folk Festival)"
1963/05/19,Wildwood Boys,Monterey County Fairgrounds,,Monterey,CA,"(Garcia, Hunter, Nelson, Frankel; Monterey Folk Festival)"
1963/07/05,Wildwood Boys,Top Of The Tangent,,Palo Alto,CA,"(Garcia, Hunter, Nelson; also Kajsa Ohman and Eric Thompson; Tangent Ledger)"
1963/07/06,Wildwood Boys,Top Of The Tangent,,Palo Alto,CA,"(Garcia, Hunter Nelson; also Kajsa Ohman and Eric Thompson)"
1963/08/09,Sleepy Hollow Hog Stompers,Top Of The Tangent,,Palo Alto,CA,"(Garcia, Leicester, Arnold)"
1963/08/10,Sleepy Hollow Hog Stompers,Top Of The Tangent,,Palo Alto,CA,"(Garcia, Leicester, Arnold)"
1963/08/??,Jerry Garcia & Friends,Camp Meeker Folk Festival,,Camp Meeker,CA,"(Jerry, Eric Thompson, Rodney and Peter Albin, and others; gathering at the Albin's summer retreat; photo)"
1963/10/27,Black Mountain Boys,Hoot In The Hills,,Woodside,CA,"(Garcia, Nelson, Thompson; Bay City Minstrels folk troupe local performance; also Sherry Snow and Songdivers)"
1963/11/02,Black Mountain Boys,Eugene Hotel,,Eugene,OR,"(Garcia, Nelson, Thompson; Bay City Minstrels evening hootenanny performance following SJSU vs. U. of Orgeon football game; also Sherry Snow and Songdivers)"
1963/11/03,Black Mountain Boys,Auditorium,Medford High School,Medford,OR,"(Garcia, Nelson, Thompson; Bay City Minstrels afternoon hootenanny performance; also Sherry Snow and Songdivers; Medford Times article)"
1964/01/10,Black Mountain Boys,Top Of The Tangent,,Palo Alto,CA,"(*included on Before The Dead; Garcia, Nelson, Thompson, Hunter; from Eric Thompson's tape of 1/10-11/64; songs for each night are probable but not certain; master tape box)"
I:,Teardrops In My Eye,,,,,
,Philadelphia Lawyer,,,,,
,Salt Creek*,,,,,
,Jody's Hornpipe*,,,,,
,Katy Kline,,,,,
,Eating Out Of Your Hand,,,,,
,Sweet Adeline,,,,,
,Rawhide,,,,,
,Rosa Lee McFall*,,,,,
,Pike County Breakdown,,,,,
,Standing In The Need Of Prayer,,,,,
,John Hardy*,,,,,
1964/01/11,Black Mountain Boys,Top Of The Tangent,,Palo Alto,CA,
I:,Katie Kline,,,,,
,Little Georgia Rose,,,,,
,Whose Shoulder Will You Cry On,,,,,
,Sally Let Your Bangs Hang Down,,,,,
1964/01/25,Black Mountain Boys,Little Theater,College of San Mateo,San Mateo,CA,"(Garcia, Nelson, et al.; CSM folk festival; program refers to an unknown ""mystery guitarist""; festival article; program)"
1964/02/07,Black Mountain Boys,Top Of The Tangent,,Palo Alto,CA,"(Garcia, Nelson, w/o Thompson; 3 sets at 9:00pm, 10:30pm, and 12:00am; may have been Sandy Rothman's first gig with the group; also Kellery Powers; Stanford Daily club schedule)"
1964/02/08,Black Mountain Boys,Top Of The Tangent,,Palo Alto,CA,"(Garcia, Nelson, w/o Thompson; 3 sets at 9:00pm, 10:30pm, and 12:00am; may have been Sandy Rothman's first gig with the group; also Kellery Powers)"
1964/03/06,Black Mountain Boys,Top Of The Tangent,,Palo Alto,CA,"(*included on Before The Dead; Garcia, Nelson, Rothman, Geoff Levin; Jorma Kaukonen opened, joined by Peter Kaukonen on several numbers; 3 sets at 8:45pm, 10:15pm, and 11:30pm; master tape box)"
I:,(partial) Monroe's Hornpipe (Jody's Hornpipe),,,,,
,Katie Kline*,,,,,
,Walking The Dog*,,,,,
,Paddy On The Turnpike (Boys,,,,,
,My Money's All Gone)*,,,,,
,On And On,,,,,
,Bury Me Beneath The Willow,,,,,
,Shady Grove,,,,,
,Love And Wealth*,,,,,
,Dark Hollow,,,,,
II:,Sourwood Mountain*,,,,,
,If I Lose*,,,,,
,Homestead On The Farm (I Wonder How The Old Folks Are At Home)*,,,,,
,Pig In A Pen,,,,,
,Once More,,,,,
,Stoney Creek*,,,,,
,Two Little Boys,,,,,
,Salty Dog Blues*,,,,,
,Rosa Lee McFall,,,,,
,Teardrops In My Eyes,,,,,
,New River Train,,,,,
,Love Please Come Home*,,,,,
,Make Me A Pallet On Your Floor*,,,,,
,John Hardy,,,,,
III:,Happy Birthday,,,,,
,Nine-Pound Hammer,,,,,
,Darlin' Allalee*,,,,,
,Ocean Of Diamonds,,,,,
,Salt Creek,,,,,
,In The Pines*,,,,,
,When My Blue Moon Turns To Gold Again,,,,,
,Raw Hide*,,,,,
,She's More To Be Pitied,,,,,
,Black Mountain Rag*,,,,,
,True Life Blues*,,,,,
,Medley: Devil's Dream/Sailor's Hornpipe*,,,,,
,John Hardy,,,,,
1964/03/07,Black Mountain Boys,Top Of The Tangent,,Palo Alto,CA,"(Garcia, Nelson, Rothman, Levin; incomplete sets; Jorma Kaukonen opened, joined by Peter Kaukonen on several numbers; master tape box; tape label/notes; source: uncirculated tape)"
I:,Can't Judge A Book By Looking At The Cover,,,,,
,New River Train,,,,,
II:,Sourwood Mountain,,,,,
,Barefoot Nellie,,,,,
,Whose Shoulder Will You Cry On,,,,,
,Mother's Not Dead (She's Only Sleeping),,,,,
,Will You Be Loving Another Man,,,,,
,Paddy On The Turnpike (Boys,,,,,
,My Money's All Gone),,,,,
,Pig In A Pen,,,,,
,Love Please Come Home,,,,,
,Canaan's Land,,,,,
,Two Little Boys,,,,,
,John Hardy,,,,,
III:,Katie Kline,,,,,
,Standing In The Need Of Prayer,,,,,
,Stoney Creek,,,,,
,In The Pines,,,,,
,Once More,,,,,
,Raw Hide,,,,,
,Wicked Path Of Sin,,,,,
,Dark Hollow,,,,,
1964/03/25,Black Mountain Boys,Santa Cruz Civic Auditorium,,Santa Cruz,CA,"(Garcia, Nelson, Rothman; ""Merri-Eds Hootenanny""; also Lino, The Couriers, and Bill Helm; article #1; article #2)"
1964/03/27,Black Mountain Boys,The Cabale,,Berkeley,CA,"(Garcia, Nelson, Rothman, Austin Keith (bass); *w/Pete Grant on dobro; **w/unknown fiddle player; Garcia dedicates set 1 to ""my friend Bobby Petersen, who just got out of the joint""; master tape box; tape label/notes; source: uncirculated tape)"
I:,Salty Dog Blues,,,,,
,If I Lose,,,,,
,Ocean Of Diamonds,,,,,
,That's How I Can Count On You,,,,,
,Hit Parade of Love,,,,,
,On And On,,,,,
,Ground Speed*,,,,,
,Wicked Path Of Sin,,,,,
II:,Monroe's Hornpipe (Jody's Hornpipe),,,,,
,Darlin' Allalee,,,,,
,Walking The Dog,,,,,
,Think Of What You've Done,,,,,
,Salt Creek,,,,,
,It's Raining Here This Morning,,,,,
,Orange Blossom Special**,,,,,
